PromotionID,PromotionName,StartDate,EndDate,DiscountPercentage,ProductID
448543,Synchronized non-volatile analyzer,2023-10-01,2024-03-29,27.92,183679
162236,Multi-channeled explicit time-frame,2023-12-10,2024-04-20,36.7,374698
410467,Open-architected mobile matrices,2024-01-31,2024-08-11,15.19,943876
708422,Object-based human-resource leverage,2023-12-18,2024-01-21,24.22,433650
458291,Virtual coherent structure,2023-06-27,2024-01-28,20.2,204070
119225,Reverse-engineered interactive productivity,2022-10-16,2022-11-06,5.95,944796
451429,Digitized modular challenge,2022-08-15,2024-08-06,47.32,180511
592955,Configurable national productivity,2024-05-10,2024-06-08,12.96,955436
614505,Operative zero administration array,2024-01-19,2024-06-02,41.09,257708
931129,Devolved modular Internet solution,2024-07-01,2024-07-04,46.11,387852
757901,Balanced dynamic projection,2023-11-24,2024-06-06,27.01,938529
814429,Configurable executive attitude,2023-09-28,2024-03-01,48.38,601279
546177,Future-proofed 4thgeneration encoding,2022-11-11,2024-07-02,18.39,611447
742486,Synergistic local attitude,2023-12-10,2024-01-05,44.37,238075
459335,Vision-oriented coherent adapter,2023-11-28,2024-05-25,43.1,712531
546720,Distributed tangible migration,2023-07-16,2024-05-04,15.91,657930
416896,Enterprise-wide grid-enabled strategy,2023-09-01,2024-07-19,10.75,782781
930074,Proactive tertiary function,2023-10-24,2024-01-22,33.07,530096
923485,Up-sized regional architecture,2024-05-30,2024-06-03,10.69,784985
158727,Upgradable intangible Graphical User Interface,2024-05-29,2024-07-29,9.56,788247
400091,Multi-lateral even-keeled Internet solution,2023-10-18,2024-02-19,14.21,641617
776407,Reverse-engineered object-oriented policy,2022-11-18,2024-03-22,18.94,238375
895387,Progressive contextually-based info-mediaries,2023-10-05,2024-07-06,22.79,852949
804925,Grass-roots asymmetric flexibility,2024-03-14,2024-06-15,20.92,806978
117445,Sharable national protocol,2023-03-28,2024-03-14,35.76,351846
966763,Multi-channeled system-worthy implementation,2024-02-11,2024-06-25,29.96,483496
807373,Synergized mission-critical focus group,2024-07-13,2024-07-19,21.32,110578
347727,Versatile next generation paradigm,2023-08-23,2024-08-02,13.53,440843
230747,Cloned local website,2023-08-24,2024-06-24,25.69,447561
467456,Ergonomic solution-oriented neural-net,2024-01-20,2024-07-26,16.42,460571
829909,Extended solution-oriented alliance,2023-01-14,2023-05-28,14.46,378469
407743,Pre-emptive systematic conglomeration,2024-01-18,2024-06-04,38.4,269114
449451,Vision-oriented hybrid complexity,2022-09-19,2022-10-21,21.12,966444
163835,Progressive 4thgeneration system engine,2022-09-27,2024-06-26,44.11,377650
280177,Cross-platform 4thgeneration application,2023-12-30,2024-04-28,21.78,831430
310429,Cloned system-worthy interface,2024-07-29,2024-08-10,27.02,976408
482606,Object-based hybrid success,2022-11-21,2023-01-26,6.28,599107
653827,Switchable full-range capability,2023-12-31,2024-01-14,42.32,537514
179003,Devolved 24/7 frame,2023-02-16,2024-07-06,14.94,168076
865095,Multi-layered incremental customer loyalty,2022-10-21,2022-12-24,33.34,828074
495035,Mandatory responsive adapter,2022-09-01,2022-11-19,23.44,854034
270478,Customer-focused exuding data-warehouse,2023-01-27,2023-11-21,29.15,136857
759666,Virtual eco-centric initiative,2022-12-10,2023-11-09,49.68,881790
135303,Sharable motivating model,2023-08-03,2024-03-25,42.89,857331
851629,Function-based clear-thinking infrastructure,2024-01-12,2024-05-30,24.87,776362
328946,Future-proofed 6thgeneration portal,2022-10-31,2023-07-16,16.96,386000
838766,Decentralized bottom-line emulation,2022-12-29,2024-07-27,41.34,961149
448787,Organic exuding model,2024-03-12,2024-04-18,39.84,108764
643348,Seamless leadingedge help-desk,2023-08-14,2024-02-18,8.71,811314
375396,Multi-lateral cohesive infrastructure,2023-03-22,2023-11-03,22.17,104786
859661,Seamless cohesive flexibility,2023-08-09,2024-01-05,7.93,578391
968591,User-centric heuristic intranet,2023-07-26,2024-02-10,28.27,460172
681932,Horizontal zero-defect synergy,2024-01-24,2024-07-13,31.24,361395
458583,Polarized static intranet,2024-03-16,2024-07-04,16.48,837721
734759,Advanced fresh-thinking software,2024-06-21,2024-07-14,45.33,355526
444591,Synergistic even-keeled interface,2024-03-07,2024-07-22,43.33,618715
529913,Managed coherent hub,2024-06-02,2024-06-20,6.05,443571
969437,Upgradable bifurcated protocol,2024-03-14,2024-05-14,9.46,327737
523912,Optimized fault-tolerant service-desk,2022-11-03,2022-11-15,16.21,811371
670137,Virtual optimizing help-desk,2024-07-29,2024-08-05,49.14,706734
934142,Universal content-based flexibility,2023-07-17,2023-11-21,27.24,442867
880532,Ergonomic zero tolerance parallelism,2023-06-24,2024-06-20,22.26,715314
376394,Synergistic impactful firmware,2023-08-28,2024-05-29,31.06,960549
839273,Front-line multi-state algorithm,2024-04-22,2024-07-07,11.84,590150
177225,Adaptive encompassing flexibility,2023-03-21,2024-03-13,39.37,835863
531243,Front-line empowering monitoring,2023-04-25,2024-08-12,40.84,593544
534070,Adaptive next generation benchmark,2022-09-14,2023-08-07,33.31,157736
241771,Front-line next generation groupware,2024-07-19,2024-07-22,24.71,968697
842177,Ergonomic mission-critical system engine,2022-10-28,2024-04-11,48.73,430179
373715,Configurable actuating task-force,2023-05-31,2023-11-27,18.52,455411
337757,Inverse client-driven productivity,2024-08-06,2024-08-12,22.92,181550
969043,Compatible motivating success,2022-09-05,2023-08-08,43.31,942706
817710,Fundamental holistic function,2024-05-19,2024-06-25,18.31,591761
108893,Re-contextualized composite framework,2022-11-11,2024-06-22,39.88,842337
248265,Expanded leadingedge paradigm,2022-09-14,2024-03-11,29.85,165946
119475,Multi-layered 24/7 encryption,2022-11-15,2022-11-19,38.6,516483
146186,Universal asynchronous model,2023-10-13,2024-07-11,13.01,448970
254538,Optional user-facing parallelism,2024-05-05,2024-05-30,5.08,604281
334541,Customizable bottom-line interface,2023-08-04,2023-10-13,48.33,625406
235528,Sharable 5thgeneration portal,2022-12-12,2023-08-05,5.65,900342
878358,Cloned holistic strategy,2023-05-10,2024-07-17,12.95,944718
770792,Virtual next generation orchestration,2023-12-10,2024-02-23,44.61,240520
108179,Virtual optimal encryption,2024-03-06,2024-06-08,11.56,439580
731977,Total coherent system engine,2023-06-08,2023-12-21,34.43,979880
110652,Front-line dynamic groupware,2023-05-31,2023-08-25,37.49,622454
542748,Managed uniform task-force,2024-06-26,2024-08-12,15.0,708390
640234,Balanced clear-thinking intranet,2023-03-08,2023-07-21,36.77,600266
826314,Pre-emptive bifurcated pricing structure,2023-02-02,2023-10-26,37.5,922511
