CampaignID,CampaignName,StartDate,EndDate,Budget,ActualSpend
226769,Digitized local groupware,2024-06-24,2024-06-29,94787.7,10604.01
750650,Cloned context-sensitive artificial intelligence,2024-06-24,2024-08-12,80589.61,10189.48
725969,Digitized eco-centric moderator,2023-01-27,2023-11-20,13487.2,9857.24
706656,User-centric secondary portal,2023-09-02,2024-05-24,10867.92,1142.45
700249,Streamlined contextually-based pricing structure,2022-12-29,2023-01-19,33993.69,4522.45
945994,Ameliorated multi-state success,2022-10-16,2024-08-09,96187.68,24336.12
274233,Compatible composite model,2022-12-17,2024-05-02,49332.58,31672.53
510075,Inverse demand-driven ability,2022-10-16,2023-05-03,53280.88,17700.19
515388,Enhanced non-volatile functionalities,2024-01-12,2024-02-10,80426.05,64654.29
853747,Seamless exuding access,2022-11-20,2024-01-31,65652.03,20158.59
363617,Exclusive homogeneous system engine,2024-02-24,2024-05-27,64210.67,3258.35
279875,Persevering system-worthy interface,2024-06-19,2024-06-28,52524.61,1850.04
387817,Virtual secondary implementation,2024-01-23,2024-01-23,57748.77,21490.24
737115,Intuitive zero-defect core,2023-07-27,2024-04-17,13336.99,3484.08
509747,Versatile static architecture,2022-09-06,2024-03-19,27748.69,14878.84
523135,Object-based bottom-line success,2023-10-15,2024-04-08,61223.75,8243.05
383020,Assimilated encompassing encoding,2024-04-19,2024-05-28,38737.61,6128.02
847999,Fundamental 6thgeneration contingency,2023-10-24,2024-04-05,94327.78,91282.13
584651,Realigned dynamic service-desk,2024-07-26,2024-07-28,4715.86,4069.39
908959,Assimilated user-facing system engine,2023-07-06,2023-12-23,75605.88,22226.86
776987,Integrated context-sensitive middleware,2023-05-25,2024-06-11,1547.34,1200.79
190998,Extended methodical knowledgebase,2024-01-12,2024-04-13,5053.55,1396.91
205459,Public-key tangible firmware,2024-06-20,2024-07-26,8310.07,3384.0
960965,Multi-tiered transitional leverage,2023-03-11,2024-02-20,97606.02,79332.47
883975,Adaptive 3rdgeneration artificial intelligence,2023-02-06,2024-05-31,37042.36,23690.54
361339,Open-source bi-directional alliance,2022-09-16,2023-10-03,3473.06,2851.84
939591,Vision-oriented explicit open system,2022-08-20,2024-05-24,27355.13,18625.2
183611,Stand-alone empowering pricing structure,2023-03-06,2023-08-09,86694.17,65275.56
850905,Compatible asynchronous instruction set,2022-12-29,2023-05-10,25004.63,19078.61
823289,Operative transitional monitoring,2023-12-30,2024-06-23,76558.47,64836.21
110046,Universal encompassing info-mediaries,2023-01-30,2023-11-23,2987.14,1635.47
593117,Synergistic interactive infrastructure,2024-02-19,2024-06-18,95527.07,43117.45
940257,Reverse-engineered reciprocal portal,2024-06-12,2024-08-03,67263.05,9873.49
197396,Vision-oriented optimizing solution,2023-07-21,2023-07-23,48710.56,43808.09
601705,Monitored reciprocal neural-net,2023-06-16,2023-10-10,67230.87,19459.8
984441,Digitized fresh-thinking secured line,2024-01-15,2024-05-28,53835.3,49474.96
708054,Synergized optimizing model,2024-02-18,2024-06-09,36468.29,23878.99
182427,Total intermediate orchestration,2023-02-28,2023-11-29,80164.35,23134.15
424569,Public-key client-driven monitoring,2023-06-20,2024-03-16,91200.86,59903.93
592802,Intuitive tertiary instruction set,2022-08-23,2022-09-20,70020.48,22222.34
613369,Customer-focused executive adapter,2022-12-01,2023-03-04,36846.47,6017.3
881752,Virtual bandwidth-monitored matrices,2024-02-20,2024-03-04,18473.93,10564.1
528331,Digitized 24hour encoding,2022-09-22,2023-09-15,31363.15,29755.14
329696,Customer-focused cohesive implementation,2022-11-20,2024-04-02,68465.48,2910.35
724856,Digitized eco-centric moderator,2023-06-13,2024-06-22,12203.51,6308.82
531880,Persistent 3rdgeneration analyzer,2024-07-09,2024-07-18,13450.45,1920.62
485550,Organic mobile initiative,2022-10-14,2023-04-05,98007.97,88009.66
227870,Total full-range throughput,2022-11-23,2023-11-17,32974.31,17805.41
581655,Re-engineered analyzing project,2022-11-16,2023-02-15,82456.77,78375.22
929821,Synchronized dynamic utilization,2022-09-07,2024-08-03,97545.51,2275.99
307918,Adaptive multimedia synergy,2022-11-06,2023-07-15,71467.38,14707.17
151481,Automated executive leverage,2024-03-23,2024-04-24,27516.12,24923.74
521918,Business-focused bi-directional encryption,2023-09-29,2024-05-22,64049.24,43615.49
257676,Re-engineered discrete encryption,2022-12-24,2023-12-09,40864.32,15081.8
993133,Upgradable scalable database,2023-08-27,2024-01-05,48084.26,8095.59
997968,Realigned content-based concept,2022-12-07,2024-02-17,58732.15,14835.92
657925,Exclusive empowering Graphic Interface,2024-04-22,2024-07-03,18034.88,15596.48
924273,Focused local throughput,2023-04-27,2023-07-25,56296.64,40038.93
169096,Up-sized hybrid toolset,2024-03-16,2024-06-04,64581.21,41025.6
927181,Customizable multi-tasking time-frame,2023-11-24,2024-07-25,59427.39,49451.23
777209,Adaptive human-resource monitoring,2024-03-13,2024-05-13,85170.2,25269.43
290644,Re-contextualized dynamic circuit,2024-07-20,2024-08-02,86784.06,81016.54
532860,Centralized needs-based matrix,2023-04-26,2024-03-27,99511.03,42421.72
575057,Profound object-oriented synergy,2024-04-07,2024-06-24,81220.46,45690.95
723832,Optional explicit utilization,2022-10-18,2023-02-16,91714.51,36215.81
723668,Compatible reciprocal moratorium,2024-03-03,2024-07-21,42334.71,2844.65
445824,Open-source neutral extranet,2023-07-02,2023-08-31,59604.58,8705.6
980115,Organic neutral adapter,2023-08-15,2024-01-01,75386.77,5193.18
346873,Synchronized exuding middleware,2024-06-05,2024-08-09,36956.89,3744.58
678819,Quality-focused 3rdgeneration portal,2023-08-08,2024-01-13,69022.04,42572.87
560600,Operative regional installation,2023-05-29,2023-12-24,94046.12,84976.56
805452,Proactive cohesive implementation,2023-10-03,2024-01-08,71808.88,4923.08
233459,Customer-focused zero tolerance complexity,2024-02-25,2024-03-01,67818.69,21320.19
686933,Ameliorated attitude-oriented circuit,2024-06-15,2024-07-27,5450.32,4376.22
110141,Stand-alone full-range process improvement,2023-01-27,2023-08-12,75318.24,9912.96
672865,Inverse executive conglomeration,2022-11-14,2023-05-08,9005.59,4007.48
715819,Reactive local migration,2022-09-23,2024-08-03,60082.43,38709.71
218190,Automated motivating conglomeration,2022-10-28,2023-07-31,20434.33,19094.85
167728,Mandatory methodical monitoring,2022-11-09,2023-02-02,89649.58,39345.14
254417,Exclusive web-enabled installation,2023-12-12,2024-02-15,80686.68,57407.52
273500,User-centric optimizing hierarchy,2022-10-05,2023-06-11,63585.47,19593.2
794482,Balanced upward-trending project,2024-07-01,2024-07-17,47917.93,22140.22
973817,Adaptive methodical task-force,2024-03-03,2024-07-15,59691.14,56488.88
623951,Universal zero administration open architecture,2023-12-13,2024-06-29,53875.56,1735.35
355075,Optimized multi-tasking model,2024-08-02,2024-08-04,56638.05,18730.95
853688,Visionary web-enabled project,2023-12-31,2024-02-01,5853.41,3586.78
516851,Cross-platform impactful Graphic Interface,2023-10-04,2024-01-28,10875.62,7953.36
683644,Optional actuating project,2023-04-19,2024-01-10,33554.71,1569.79
271341,Re-contextualized tangible model,2023-06-16,2024-04-27,48117.22,34412.37
225031,Business-focused system-worthy website,2024-07-14,2024-07-29,49053.27,26177.27
791069,User-friendly interactive infrastructure,2023-11-28,2023-12-07,89006.79,31581.18
674949,Extended cohesive productivity,2023-07-03,2023-08-04,82649.79,2208.36
996260,Programmable global methodology,2024-05-04,2024-06-05,16309.87,2211.01
235213,Grass-roots multi-state groupware,2023-08-14,2024-04-16,38157.95,22616.12
890357,Reactive transitional protocol,2023-06-25,2024-02-25,15581.88,2742.76
346521,Upgradable mobile info-mediaries,2024-01-02,2024-04-04,43394.89,10428.75
744251,Re-contextualized explicit frame,2022-10-17,2024-02-12,41830.3,21435.84
162852,Centralized bifurcated infrastructure,2024-05-01,2024-06-30,47677.55,25951.13
504828,Assimilated global data-warehouse,2024-04-27,2024-05-31,35934.6,5710.22
321863,Compatible bifurcated time-frame,2024-04-04,2024-06-06,17905.0,17884.12
115659,Innovative bifurcated adapter,2024-04-20,2024-05-31,74202.3,4043.67
539127,Visionary interactive Local Area Network,2023-01-28,2024-04-09,86318.86,1537.96
600287,De-engineered executive firmware,2024-03-31,2024-05-08,2555.46,2457.61
