DepartmentID,DepartmentName,ManagerID,Location
1,Youth worker,670983,Samuelville
2,Product/process development scientist,425536,Danielview
3,Biomedical engineer,533373,North Karenmouth
4,"Runner, broadcasting/film/video",182461,East Carolynville
5,Building control surveyor,157329,New Samuelhaven
6,Marketing executive,870288,Feliciaside
7,"Education officer, environmental",210535,East Cheryl
8,"Journalist, magazine",970763,South Benjamin
9,Dancer,385156,Lake Danielmouth
10,Forensic scientist,591439,North Wendyfort
