InventoryID,WarehouseID,ProductID,QuantityOnHand,LastRestocked
411909,5,895706,241,2022-11-08
216935,4,433755,200,2023-05-22
683768,4,427098,250,2024-06-06
101560,2,878320,262,2024-04-16
788833,1,336921,40,2022-09-10
371194,4,935700,242,2023-02-20
162748,4,628657,378,2023-08-10
273780,3,614883,436,2022-08-18
335576,1,122328,60,2024-04-07
617944,2,339834,122,2023-12-28
581824,4,133262,206,2023-02-19
713018,2,402168,413,2023-07-22
114068,2,129829,63,2023-08-29
161980,3,307512,33,2023-04-30
571214,2,130472,266,2024-06-29
743398,5,159905,27,2023-01-23
553593,5,379183,209,2024-07-24
633409,2,451521,165,2022-08-31
613623,5,935263,339,2022-10-29
621979,3,321024,294,2023-11-13
937360,2,118580,433,2023-10-05
692177,3,618792,78,2023-09-07
104956,4,759778,402,2023-11-02
270199,4,161715,211,2023-06-24
580790,3,192728,75,2022-12-30
533953,4,927070,314,2023-10-18
473690,2,794455,109,2024-05-07
562105,1,231512,303,2022-09-18
321071,4,514083,446,2022-11-25
296906,4,559073,428,2022-08-21
962803,1,713538,225,2024-01-06
264477,4,654951,269,2023-06-18
933385,3,371893,146,2024-08-07
417795,1,646500,85,2024-06-26
233693,1,370004,47,2023-11-13
382683,4,964314,67,2024-02-12
709163,2,195458,213,2024-03-21
819579,1,960671,395,2024-06-09
166114,1,468166,192,2023-07-17
415518,4,388096,306,2024-02-23
336524,4,278187,163,2023-07-31
676180,4,585958,166,2024-08-10
318098,4,194761,492,2022-08-25
485739,1,989882,354,2024-02-25
871318,4,815629,124,2023-07-02
116420,3,406913,379,2022-10-15
916161,5,467558,292,2022-12-15
367477,5,496511,34,2022-12-04
736400,2,900164,226,2023-10-31
203829,2,678759,50,2024-01-29
983493,3,292222,103,2023-03-22
551924,4,273932,467,2023-10-01
773801,3,651099,157,2023-01-02
563641,3,858643,352,2023-12-22
738821,1,509355,273,2024-01-08
434271,3,104144,66,2022-10-04
587264,4,507962,257,2023-03-13
668827,3,737634,249,2023-06-27
746240,3,372525,357,2024-01-29
950740,5,805529,100,2024-05-29
605610,1,255406,391,2024-02-13
332791,3,805602,349,2023-04-09
903325,4,815935,479,2022-08-25
707828,4,918316,304,2023-05-17
271603,3,612175,37,2024-08-02
338144,2,811094,41,2024-02-01
913386,1,902749,408,2022-10-26
515728,5,573939,403,2022-10-09
589379,5,247527,283,2023-06-19
384351,5,979586,109,2022-10-19
405172,2,191842,51,2022-11-06
677347,5,781916,152,2023-09-03
361717,2,224858,249,2024-05-03
428835,3,648832,127,2023-01-06
574864,2,317059,147,2024-01-04
383219,3,485567,287,2023-03-06
301487,4,609526,226,2023-10-12
992532,1,482809,34,2024-04-10
672474,5,450464,398,2024-01-23
125624,3,838885,460,2023-03-29
140971,5,756535,95,2023-01-17
526330,5,427610,331,2023-08-19
292094,2,551451,114,2023-02-11
171822,3,610512,172,2023-09-04
718768,5,521991,183,2023-11-06
482763,3,432811,159,2023-04-02
901163,3,383556,133,2023-08-05
641448,2,400374,112,2023-06-13
847813,2,977287,418,2023-07-20
776942,2,213528,473,2023-01-14
309268,5,477042,224,2024-01-17
425876,4,372622,280,2024-02-07
510614,2,853334,331,2024-01-21
170913,2,474921,56,2022-12-28
963372,1,860675,370,2023-05-16
207539,2,689411,385,2023-05-04
434077,3,177078,449,2023-06-07
406880,2,171300,486,2023-09-13
313152,4,216241,177,2024-07-30
544724,4,285363,75,2023-12-16
658384,3,127927,200,2023-08-17
591486,3,514084,485,2023-05-27
821174,2,923002,68,2023-09-28
608171,5,448575,151,2022-10-01
700258,4,302706,24,2023-08-11
881449,5,302834,477,2022-09-17
789146,3,372124,253,2023-08-06
184875,3,381825,239,2024-07-03
285256,1,505724,222,2024-03-07
158713,1,257561,339,2023-03-12
376348,5,756578,363,2022-10-31
291794,3,125952,344,2024-03-12
194789,2,355700,46,2023-07-05
183381,1,383724,359,2024-01-28
911760,3,409677,342,2023-05-23
677322,1,686472,293,2024-05-24
294299,3,990970,134,2024-04-09
791882,1,548433,377,2024-05-14
925106,1,514124,494,2023-10-19
521160,4,280544,11,2023-11-26
631277,3,306258,112,2023-07-06
238401,5,233505,60,2024-07-25
434430,2,319424,134,2022-12-28
300337,2,532415,174,2023-09-06
807591,3,422621,182,2023-02-15
943941,1,779335,193,2023-10-24
721954,2,593597,22,2023-11-12
828024,4,862009,268,2023-09-07
227886,4,988303,493,2023-06-26
657699,2,723419,383,2023-07-05
334062,1,993099,472,2024-01-11
376681,3,789789,320,2024-06-25
245567,3,585445,305,2024-03-25
569403,3,745109,401,2024-06-25
227770,5,209654,487,2024-05-30
440767,1,358430,359,2023-02-26
766925,2,516510,14,2024-03-18
503344,4,466408,74,2023-09-04
686523,5,712303,479,2023-04-24
150571,2,740400,281,2024-07-18
591769,3,520924,103,2022-08-30
141737,4,331154,311,2024-04-23
824387,5,541148,394,2024-07-09
195717,3,362393,83,2022-12-22
838212,5,658644,461,2024-04-18
837167,2,521393,479,2023-05-23
753610,1,815272,483,2023-04-02
445229,5,268905,210,2023-02-24
723606,2,591648,190,2023-12-09
203301,4,331324,197,2024-03-17
386796,5,895537,7,2024-04-18
820474,4,946592,32,2024-06-07
767209,2,803034,276,2023-02-01
783696,1,977676,308,2024-04-30
703315,4,449834,19,2023-02-14
126527,5,615982,438,2022-10-04
997868,1,538785,201,2023-09-27
432355,5,361874,34,2023-11-02
691563,1,866596,467,2023-08-03
425059,4,462025,217,2023-12-01
655087,1,691276,262,2023-03-03
615272,5,786777,493,2023-12-04
818022,2,557136,371,2023-09-17
271548,3,872793,335,2023-05-24
379559,3,431482,197,2023-12-03
275366,4,811128,314,2024-03-28
321600,5,248172,111,2022-12-12
203437,3,260128,280,2022-10-30
112961,2,875963,181,2024-01-12
979568,4,318910,354,2023-01-21
653095,4,661140,397,2022-10-22
936043,3,366326,493,2024-05-25
411948,4,875885,130,2024-01-30
666531,4,805827,252,2023-12-14
908741,5,129837,320,2022-09-18
756473,2,532451,357,2023-07-23
637647,3,900550,133,2022-09-17
734050,2,714775,305,2022-09-01
360047,3,456975,412,2024-04-12
767008,2,463409,383,2023-06-25
332753,3,335743,443,2023-05-30
108543,1,367788,220,2023-05-12
104460,4,608929,359,2022-08-29
649878,1,243014,17,2022-12-18
412310,1,711686,477,2022-09-04
449655,2,634456,493,2023-05-07
907522,3,992976,357,2023-06-14
329284,2,877738,28,2022-12-20
327631,5,567704,26,2024-06-16
608038,3,236111,80,2023-06-27
889589,5,563335,351,2023-10-10
950486,2,745767,150,2023-12-11
978984,5,485361,271,2023-02-12
823864,5,897025,431,2023-03-24
664005,5,390198,315,2023-02-25
547230,1,981765,151,2024-07-18
752670,1,622740,175,2022-12-29
373381,3,176534,136,2023-04-22
152940,3,622525,386,2023-05-22
322140,1,452014,254,2023-06-29
764534,1,340334,157,2024-01-28
731077,5,545222,472,2024-07-29
629266,4,335384,19,2023-09-04
811145,3,634786,161,2023-10-11
697880,4,821615,121,2023-05-04
779531,2,823970,315,2023-08-03
716726,5,605041,281,2023-06-01
139651,3,819173,431,2023-05-14
559035,2,292288,81,2024-08-01
448259,4,736495,273,2022-09-08
