OrderID,CustomerID,OrderDate,ShipDate,TotalAmount,PaymentMethod
962533,406302,2023-11-02,2024-02-15,838.74,Credit Card
771038,270552,2019-10-22,2020-06-02,423.97,Wire Transfer
286145,266494,2020-09-22,2022-04-02,976.7,Wire Transfer
939815,954791,2024-07-07,2024-07-20,1798.73,Credit Card
474474,711441,2019-09-27,2019-11-03,252.8,Wire Transfer
465544,811526,2021-09-19,2022-04-27,984.69,Credit Card
308947,158999,2021-03-27,2023-07-14,1614.61,PayPal
587735,641160,2019-08-14,2022-04-30,1259.8,Wire Transfer
333472,936771,2022-11-04,2023-02-21,382.26,PayPal
408120,582536,2022-11-03,2023-11-19,823.94,Wire Transfer
365090,944251,2022-03-12,2022-07-24,208.84,Credit Card
141051,943907,2020-09-30,2023-05-19,281.06,PayPal
813710,848643,2023-12-12,2024-09-05,456.76,Credit Card
284326,469739,2023-02-21,2024-02-04,152.78,Credit Card
323885,695298,2020-03-18,2023-05-20,1907.0,Wire Transfer
928721,647540,2023-06-11,2024-05-20,1531.38,Wire Transfer
386833,232090,2019-10-18,2023-01-26,1604.88,Wire Transfer
817513,390322,2021-10-25,2023-06-25,1578.64,Wire Transfer
806651,597418,2022-07-26,2023-11-27,116.76,Wire Transfer
671830,278032,2020-11-04,2021-07-19,1908.04,Credit Card
669967,564867,2021-01-13,2024-06-23,139.44,Wire Transfer
917888,348752,2022-06-13,2024-03-09,188.82,Wire Transfer
702960,761056,2021-03-05,2023-12-30,747.25,Credit Card
275008,840678,2023-12-18,2024-05-29,886.36,Credit Card
337942,864603,2022-05-27,2023-06-06,1824.1,PayPal
766832,929119,2021-10-05,2021-11-01,270.22,PayPal
251034,185826,2021-02-02,2022-09-01,98.32,Credit Card
934239,351430,2019-11-08,2020-01-22,339.48,Credit Card
830214,908526,2020-02-16,2024-01-23,301.12,Credit Card
631267,304985,2021-02-18,2024-02-20,532.33,Wire Transfer
360786,185649,2023-10-12,2023-10-16,153.97,Credit Card
991942,293686,2023-11-08,2024-06-04,478.22,PayPal
927581,517831,2020-04-19,2021-01-19,879.11,Wire Transfer
129486,407308,2020-10-21,2024-07-04,1341.52,Credit Card
882673,371809,2022-10-29,2023-09-01,1340.16,Wire Transfer
781717,443149,2024-07-27,2024-08-21,529.92,PayPal
111076,404093,2020-02-12,2020-05-31,653.7,Wire Transfer
783363,162024,2019-08-13,2020-12-06,1147.47,PayPal
216412,679027,2022-01-18,2023-09-23,350.98,Credit Card
994296,758538,2022-10-03,2024-04-04,1514.16,Wire Transfer
347353,927124,2023-09-30,2024-07-27,488.34,PayPal
229830,717830,2020-09-23,2023-02-23,1412.41,Credit Card
513294,236574,2023-07-22,2023-11-23,444.52,PayPal
967450,557863,2024-05-27,2024-07-03,334.56,Credit Card
310395,291297,2022-11-30,2024-06-15,1137.06,PayPal
814306,279739,2020-05-21,2023-06-28,1057.88,PayPal
475614,309886,2023-11-14,2024-05-12,794.82,Credit Card
727240,116333,2020-08-01,2024-08-22,1767.2,Credit Card
628437,198059,2020-07-27,2022-01-22,1542.78,Credit Card
922931,544202,2020-09-25,2021-10-10,1697.33,Credit Card
700804,661285,2019-08-16,2019-09-22,36.08,Wire Transfer
266627,414175,2021-11-18,2024-01-10,210.49,Credit Card
637343,627836,2020-09-11,2024-06-08,1852.46,Credit Card
286598,378119,2022-05-30,2023-06-25,550.14,Wire Transfer
243006,642009,2023-07-12,2023-11-01,1512.67,Wire Transfer
330754,704666,2020-02-19,2020-12-05,823.77,PayPal
718723,115634,2020-12-16,2023-02-05,240.73,PayPal
562301,455936,2023-04-06,2023-07-06,814.96,Wire Transfer
792403,415774,2023-07-30,2024-09-01,1430.55,Credit Card
363023,702606,2019-08-22,2023-11-22,404.69,Wire Transfer
800443,529035,2023-12-16,2024-05-11,1633.69,Wire Transfer
835178,141558,2022-08-22,2023-08-07,401.3,Credit Card
520727,561216,2020-08-28,2020-12-08,129.66,PayPal
103396,337135,2022-04-22,2022-07-10,1924.37,Credit Card
135854,926778,2024-04-25,2024-06-03,32.08,PayPal
149866,882784,2020-04-16,2021-05-19,356.5,PayPal
666005,896429,2020-08-10,2020-11-07,1855.36,PayPal
268732,744320,2023-01-10,2024-07-11,1514.6,PayPal
217135,197779,2024-08-01,2024-09-10,1222.9,PayPal
543950,595324,2020-12-12,2022-03-04,287.3,Wire Transfer
239787,127005,2021-03-23,2022-05-02,612.98,Wire Transfer
705836,606766,2023-01-05,2023-11-21,841.61,Wire Transfer
880228,190883,2023-02-24,2024-04-28,498.5,Credit Card
832854,253977,2022-10-30,2024-03-10,1902.51,Wire Transfer
285488,973637,2021-07-04,2023-08-02,1933.07,Credit Card
819752,747008,2019-10-01,2024-06-10,1871.24,Wire Transfer
457090,293789,2020-11-27,2023-05-17,1549.75,Credit Card
541703,541545,2021-05-06,2022-04-05,1541.58,Wire Transfer
119580,583530,2023-01-07,2023-06-26,1909.82,Wire Transfer
223941,213224,2023-12-19,2024-04-28,475.88,Wire Transfer
747533,403217,2019-11-24,2024-05-15,1334.1,PayPal
544598,968806,2021-04-08,2024-04-06,562.03,Credit Card
413662,340074,2020-09-13,2024-01-05,29.55,PayPal
621038,620289,2022-03-11,2024-08-28,1633.15,Wire Transfer
560397,683161,2022-05-06,2024-06-05,1491.17,PayPal
809976,690465,2022-01-08,2023-06-06,205.07,PayPal
611505,814884,2023-04-11,2024-05-06,904.15,Credit Card
176446,730357,2023-06-07,2024-04-29,871.38,Wire Transfer
918376,524394,2024-04-19,2024-05-02,898.31,Wire Transfer
611352,846712,2021-08-05,2024-01-30,1819.79,PayPal
531329,632796,2022-02-14,2023-12-23,1587.89,Credit Card
660897,330377,2022-11-09,2023-03-17,1226.07,Credit Card
963442,912181,2021-03-14,2022-07-08,29.78,Wire Transfer
485392,823156,2024-02-10,2024-05-24,241.6,Wire Transfer
995872,392008,2021-03-22,2024-04-25,92.67,PayPal
665620,823887,2020-01-13,2021-03-09,417.63,Credit Card
788864,249774,2022-10-25,2023-12-29,1889.69,Credit Card
118814,184771,2019-08-29,2020-04-20,276.67,Wire Transfer
232477,424289,2023-03-13,2023-05-10,1195.57,Wire Transfer
530821,832073,2021-12-21,2024-02-18,816.25,Credit Card
187439,835707,2021-01-11,2024-09-10,531.93,PayPal
319460,608577,2021-02-17,2024-09-02,222.59,PayPal
507229,306898,2020-08-12,2021-09-17,1977.74,Credit Card
602986,301828,2023-09-09,2023-12-17,320.78,Wire Transfer
500842,138792,2022-01-11,2024-07-27,865.91,Wire Transfer
134186,718099,2022-01-11,2023-01-24,1559.11,PayPal
304975,969179,2021-10-10,2021-11-15,482.54,Credit Card
200262,164580,2023-05-21,2023-09-09,1472.29,Credit Card
470634,447844,2020-02-21,2023-02-28,1142.13,PayPal
322559,356110,2020-01-23,2023-10-23,1788.9,Credit Card
216109,379042,2021-04-11,2024-06-13,1718.67,Credit Card
849185,131280,2020-02-14,2023-01-31,1243.59,PayPal
497574,325973,2022-07-13,2023-04-19,1456.74,PayPal
910226,530998,2021-01-01,2023-03-19,376.41,Wire Transfer
801351,701864,2020-04-17,2020-07-30,1598.63,PayPal
486490,207414,2023-11-23,2024-06-08,589.14,Wire Transfer
498473,311823,2021-07-03,2022-06-13,732.43,Credit Card
639491,972576,2021-05-15,2023-04-23,1205.02,PayPal
384152,716757,2024-03-30,2024-05-20,483.85,Credit Card
861893,691590,2023-10-11,2024-08-02,1639.02,Credit Card
527322,521908,2022-02-14,2024-07-08,91.93,Wire Transfer
949683,619041,2024-02-21,2024-04-18,693.16,Credit Card
920625,613766,2019-11-01,2022-12-28,415.33,PayPal
363671,589237,2023-04-20,2024-07-28,1683.05,Credit Card
715412,301028,2021-08-05,2024-06-26,1825.66,Wire Transfer
355179,970905,2022-08-12,2023-03-02,71.36,Credit Card
471688,965187,2020-07-31,2024-01-25,1236.51,PayPal
718650,557777,2020-09-03,2022-06-11,167.94,Credit Card
674035,879537,2019-12-23,2021-03-31,1171.0,PayPal
572813,747674,2021-06-05,2023-06-20,148.93,Credit Card
333669,335639,2019-09-02,2024-07-09,773.49,Wire Transfer
925828,950683,2019-08-24,2022-05-30,551.63,Wire Transfer
847512,902892,2019-12-25,2020-09-17,753.63,Wire Transfer
796352,666772,2022-09-29,2023-04-26,1736.72,Credit Card
571445,650032,2020-11-09,2021-05-05,1122.33,Wire Transfer
766278,175185,2022-03-03,2022-03-30,910.75,Credit Card
387549,135687,2021-09-05,2021-09-24,632.84,PayPal
135403,397488,2020-06-25,2023-07-09,1890.45,Wire Transfer
971595,820796,2022-02-01,2023-12-17,35.08,Wire Transfer
894178,562110,2024-05-28,2024-06-18,619.57,Credit Card
686072,322745,2023-05-21,2024-01-22,1166.11,Wire Transfer
910449,412128,2022-10-16,2024-07-19,1848.06,Wire Transfer
113953,546371,2023-06-17,2023-08-05,457.08,Credit Card
718816,678169,2020-05-25,2024-04-11,845.81,Wire Transfer
693547,741458,2023-04-23,2024-05-27,98.47,Credit Card
367089,434694,2020-01-14,2024-01-30,820.46,Wire Transfer
977700,176320,2024-06-16,2024-08-27,707.82,Credit Card
551545,816647,2020-11-14,2022-11-12,1163.33,PayPal
549325,124451,2022-01-01,2024-06-07,1131.91,Wire Transfer
339623,694706,2020-11-08,2021-02-05,47.75,PayPal
243868,531368,2022-06-20,2023-10-30,1151.86,Wire Transfer
760259,834775,2020-11-12,2022-04-02,1961.79,Credit Card
102707,338591,2019-11-14,2022-10-04,1988.27,Credit Card
367146,952152,2019-09-30,2023-11-12,1447.59,PayPal
253415,320410,2020-07-30,2023-07-03,497.41,PayPal
560658,282504,2023-06-05,2023-11-20,1494.65,Credit Card
602002,292682,2023-09-30,2024-01-14,1221.15,PayPal
480939,456680,2019-10-11,2021-08-20,1512.67,Wire Transfer
302661,309514,2023-08-17,2024-02-04,922.49,Wire Transfer
963290,971720,2019-12-12,2020-07-22,1500.67,PayPal
349962,614336,2019-11-08,2022-12-29,1818.28,Credit Card
938186,991305,2020-10-28,2021-01-24,988.44,Wire Transfer
166787,556802,2022-07-23,2022-07-29,1889.31,Wire Transfer
850644,456354,2022-05-23,2024-02-01,1052.58,PayPal
230678,382680,2021-02-09,2022-05-04,674.49,Wire Transfer
870805,844706,2020-04-26,2023-07-18,1236.4,Wire Transfer
501777,432571,2019-09-28,2020-07-16,1936.08,PayPal
974955,993080,2021-07-28,2021-10-14,1859.09,Credit Card
885435,554258,2022-11-07,2023-03-06,113.74,Credit Card
714989,815022,2023-02-13,2023-06-17,359.67,PayPal
173450,457058,2021-02-19,2022-06-26,504.59,Credit Card
229703,717959,2024-06-08,2024-08-22,757.18,Wire Transfer
867533,346095,2022-08-22,2024-01-26,437.82,PayPal
667195,475025,2023-07-24,2024-04-10,1775.08,Wire Transfer
500274,411339,2023-02-08,2023-02-15,1548.14,Wire Transfer
952801,680665,2019-12-07,2020-04-07,1748.72,Wire Transfer
475687,408644,2021-09-23,2022-11-20,1448.49,PayPal
642219,481869,2021-04-05,2024-03-05,1795.14,PayPal
748776,833711,2023-01-13,2023-02-22,918.48,Credit Card
592319,872616,2019-11-03,2021-11-14,1063.45,Credit Card
586078,757373,2021-08-29,2023-03-24,1053.58,PayPal
200422,595462,2021-04-09,2023-02-26,1403.78,Credit Card
244653,772133,2019-09-16,2024-04-05,708.74,PayPal
206063,701083,2023-04-07,2023-05-05,131.79,Credit Card
446087,760787,2021-10-29,2023-08-31,1653.35,PayPal
238042,869797,2022-01-09,2024-06-23,1376.83,PayPal
217910,526369,2021-01-13,2024-05-02,306.54,PayPal
151071,721503,2022-05-30,2024-07-17,1027.25,PayPal
949385,264306,2021-12-05,2023-01-03,1135.91,Wire Transfer
836912,655735,2021-02-15,2021-12-10,90.35,Wire Transfer
273891,857635,2020-05-16,2023-07-15,651.78,Credit Card
878420,844129,2021-08-03,2024-02-11,694.95,Credit Card
515956,989813,2022-04-05,2023-07-09,1816.2,Wire Transfer
778312,888471,2020-03-30,2022-05-10,1058.98,Wire Transfer
912611,393534,2024-04-25,2024-06-18,724.77,Wire Transfer
263094,607883,2022-04-09,2022-07-18,1439.32,Wire Transfer
865909,808450,2020-04-05,2023-06-11,1963.36,Wire Transfer
200144,790148,2024-03-15,2024-06-02,108.2,Wire Transfer
625291,472403,2021-08-15,2021-09-08,1445.11,PayPal
868460,928487,2021-04-22,2021-06-18,1454.5,Credit Card
961930,450740,2022-10-04,2023-09-19,1990.78,Credit Card
804922,320026,2023-09-05,2023-09-30,39.12,PayPal
265642,131775,2024-06-27,2024-07-21,1956.53,Credit Card
345414,700575,2023-01-15,2024-06-19,106.82,Credit Card
458956,980387,2023-12-02,2024-06-05,796.34,Credit Card
242922,136409,2022-04-20,2023-11-16,1680.19,Credit Card
228825,695932,2022-03-16,2023-12-29,1601.11,Wire Transfer
846649,677968,2020-05-20,2020-07-07,1304.97,Credit Card
523024,856789,2021-10-10,2022-06-02,1703.46,PayPal
589444,546987,2021-09-12,2023-05-13,1011.5,Credit Card
387488,541828,2022-03-04,2022-08-22,1328.38,Wire Transfer
813219,111118,2023-12-24,2024-02-17,623.8,Wire Transfer
314644,799844,2021-09-01,2024-01-06,1735.94,Credit Card
