TransactionID,AccountID,TransactionDate,Amount,TransactionType,Description
322040,600132,2024-01-26,-4140.05,Credit,Black upon door catch.
293491,557843,2021-02-24,3056.44,Debit,Step remain middle specific quickly.
502960,229595,2019-10-11,2085.25,Debit,Quickly walk draw director hair modern under.
292960,655738,2019-12-20,-3523.74,Debit,Expect prove southern under.
335503,110584,2021-12-11,4593.13,Debit,Mr rule still hear care.
868186,207100,2023-05-25,-4601.88,Credit,Factor western sure. Purpose commercial good.
710587,885239,2024-05-26,-4931.11,Credit,Laugh mean imagine painting.
408634,321837,2024-03-23,-1606.0,Credit,Here maybe face message.
708028,366682,2020-11-05,2392.07,Debit,Specific PM physical shake leader.
180598,354418,2020-01-22,-3710.44,Debit,Building surface sort blood door baby five.
857852,771283,2022-11-12,314.29,Credit,Issue feeling situation draw seek expect.
967363,793714,2023-05-03,1366.15,Credit,Room ahead field room Mr camera.
576053,652950,2021-04-24,-2710.66,Credit,Card view none expect those bank end.
914312,632329,2022-03-28,-225.74,Credit,Others order today whole PM land site firm.
808558,151423,2021-10-07,-1291.69,Debit,Statement speak upon. Suggest card future high.
784712,870958,2024-01-26,-1733.26,Debit,I which still according son direction.
895297,118716,2021-08-04,4524.42,Debit,Our miss risk spring. Future feeling tell fall.
148304,848789,2024-05-19,-317.59,Credit,Data cup investment city health.
820632,336635,2022-10-09,-2533.78,Credit,Team fill deep sit goal.
783975,603398,2020-03-29,3898.09,Debit,Court miss blue build develop.
990174,493461,2019-12-04,-687.86,Debit,Need score work operation. Road office impact.
834566,440775,2022-11-18,-588.83,Credit,Research expect anyone seem if leg.
664032,593561,2022-12-05,-935.98,Debit,Since effect red us.
165840,384996,2019-09-05,-4054.92,Debit,Address general laugh east.
627399,199897,2021-04-24,3230.68,Credit,Report especially able behind month read.
234507,407069,2024-06-28,-1997.38,Debit,Almost card media piece street occur past adult.
525270,117268,2021-04-11,-1668.67,Credit,How feel forget front record.
935171,538659,2024-07-30,-3765.38,Debit,Station maybe stop assume professional green.
783000,685692,2020-09-20,4665.19,Debit,Or senior result thank kind with.
127963,949104,2023-11-25,4265.15,Debit,Half south miss practice.
347823,362537,2020-08-02,-3509.11,Credit,Physical local law Congress.
263174,552373,2020-11-13,-4696.63,Credit,Approach hotel in one successful bank.
143018,643271,2022-12-11,-4823.73,Debit,Science wonder land economy.
289441,864990,2023-05-18,795.13,Credit,At billion line others.
399838,869793,2024-03-02,-3308.05,Debit,Economy we southern year once.
390414,479414,2019-11-30,2457.02,Debit,Until whose fine realize adult between.
664567,296628,2021-02-19,-2352.46,Credit,Civil edge indeed evidence simply.
483917,872846,2023-04-30,-4809.56,Debit,Tv of affect card sing.
496917,295452,2021-01-07,-1575.22,Debit,Type bed discover table success partner strong.
213964,957787,2021-11-23,2668.12,Credit,Which current suggest else leave talk.
717280,862411,2020-04-12,-3441.36,Debit,Could interview discover control.
787186,543487,2023-05-02,-2189.59,Credit,Exist name during race success air.
806139,582748,2019-11-02,3745.72,Credit,Watch network recently play finish who.
972699,900581,2024-01-02,-4747.48,Credit,Seem husband hotel close indicate read.
993973,856616,2024-07-28,406.61,Credit,Lose west upon recognize indeed.
829082,191049,2022-08-19,-123.49,Credit,Cold store fire finally by dream weight anything.
100969,828164,2023-02-17,-191.4,Debit,Stand friend coach lay.
503358,688267,2019-10-29,-4548.65,Debit,Hair foot future address here near.
150737,633788,2021-09-05,4501.63,Credit,Seat imagine our inside.
243882,113629,2020-04-07,2050.05,Credit,Rather decision bank concern.
869449,776896,2022-12-08,-4740.04,Debit,Couple place music training level for.
919751,278164,2023-11-26,-489.18,Credit,Education character difficult here child stop.
626758,234873,2023-10-26,-244.49,Debit,Clear develop military view compare group.
812258,797644,2020-04-07,2594.57,Debit,Detail upon material cold.
541794,598453,2021-11-12,-1171.79,Debit,Onto stage her over. Next go draw eye.
718248,696745,2022-12-22,4897.02,Debit,Republican wind support eye interview.
634920,287994,2024-04-16,2732.65,Credit,Project difficult ability century religious.
142942,720636,2023-01-19,4706.9,Credit,Throughout both cut allow.
605835,927707,2022-11-03,1215.86,Credit,Each avoid price piece police.
193332,807869,2022-06-10,-1972.27,Credit,Accept increase people author wrong.
833774,534839,2020-11-20,4466.91,Credit,Wind tell best control buy.
629534,133597,2023-11-10,1589.39,Credit,Figure even any environment.
938362,644351,2020-02-21,3890.02,Debit,Community hard lay start water today.
139769,575845,2024-01-19,-2734.71,Credit,Quality exist really successful him end result.
438776,762990,2022-10-06,2456.69,Credit,Difficult expect five table age nothing.
448060,854155,2020-04-27,2079.01,Credit,Purpose reality risk answer federal.
762963,299825,2021-02-06,-2606.16,Debit,Inside senior nice behind human manage.
415096,636478,2021-09-23,1096.45,Debit,Amount television agreement blue member.
544677,411314,2023-02-10,2158.97,Debit,Heart happy out various yes newspaper country.
285388,863679,2019-08-27,-1575.63,Credit,These day remain fund.
350794,809824,2022-12-15,-1833.16,Debit,Police be whole avoid race soon across.
111153,538757,2024-02-27,948.45,Debit,Table prepare wait every defense fine art.
431332,981305,2021-03-29,-1264.94,Credit,Behind yeah tree make myself.
425191,783749,2019-09-26,-2334.77,Credit,Position radio available study although.
950401,230657,2024-07-03,-661.27,Debit,Opportunity middle author board benefit.
204996,653672,2022-02-20,4958.04,Debit,Animal later someone woman risk dinner.
600548,422814,2024-02-21,-4884.48,Credit,Food anyone card spend safe degree look.
155808,890672,2020-12-11,-2859.68,Credit,Something develop would brother suggest boy mean.
781491,851563,2023-01-17,4224.08,Credit,Within establish growth source under.
773557,353369,2022-11-17,-4753.48,Debit,Rule rise pay end fly.
643034,227005,2020-07-14,-2492.9,Credit,Go table thousand.
126171,554193,2020-04-17,3315.15,Credit,Necessary economy practice.
757025,570516,2020-06-23,-4588.17,Debit,Respond remember black. Teacher image road.
254545,218545,2023-02-28,4198.07,Debit,Citizen computer part do score this.
742679,574519,2019-10-24,2197.55,Credit,Prove reality again same consider vote wrong.
568089,182942,2022-06-25,-4014.89,Debit,Face perhaps individual stuff everything.
189879,580316,2024-02-02,2299.84,Debit,Thus end ago effect throughout fly economy base.
929841,787490,2021-02-08,84.31,Credit,It should cell amount face event.
378498,976943,2021-10-16,1799.47,Credit,Inside reflect side see check prove size.
823667,303844,2023-07-31,-837.46,Debit,Help sell million cell better send.
841498,367360,2023-06-24,3229.93,Credit,Conference analysis year effort network.
344158,393173,2020-10-17,-3961.53,Debit,Throughout after material give marriage.
301324,490817,2023-11-04,4838.27,Credit,Attorney son model head. Each themselves account.
672433,840406,2023-06-14,4.91,Credit,Investment table despite same.
809253,245559,2021-12-15,1876.23,Credit,Future contain fire help green.
370091,336035,2022-02-02,-4165.08,Credit,Rule probably relationship method growth eat.
461070,127756,2022-12-04,3575.3,Debit,Rich recent various other sell news area.
162055,614782,2021-03-09,626.29,Credit,Song ago bit rule take.
999424,385623,2020-07-18,1411.34,Debit,Already by use person theory TV general.
471018,352885,2023-12-03,1698.62,Debit,Audience wind wonder brother.
820100,476525,2021-06-11,1732.26,Credit,Behind wear each real.
